City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kavieng,PG,82.69,light rain,-2.5744,150.7967,Nusa Island Retreat
9,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Namatanai,PG,83.08,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
34,Karratha,AU,83.05,broken clouds,-20.7377,116.8463,ibis Styles Karratha
79,Haapiti,PF,87.53,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
85,Puerto Colombia,CO,82.49,clear sky,10.9878,-74.9547,Hotel El Emigrante
88,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Mareeba,AU,80.47,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
94,Butaritari,KI,82.0,broken clouds,3.0707,172.7902,Isles Sunset Lodge
99,Lorengau,PG,83.26,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
103,Manokwari,ID,80.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
110,Faanui,PF,81.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
141,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
150,Vao,NC,80.91,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
163,Redlands,US,81.48,scattered clouds,34.0556,-117.1825,Dynasty Suites Redlands
211,Acarau,BR,80.42,few clouds,-2.8856,-40.12,castelo pizzaria
225,Guastatoya,GT,82.9,broken clouds,14.8539,-90.0647,Hotel Y Cafeteria Santa Lucia
230,Nieuw Amsterdam,SR,82.56,few clouds,5.8833,-55.0833,Hotel Stardust
231,Nuevo San Juan,PA,87.4,scattered clouds,9.2233,-79.6619,Puente Limón los cedeños
232,Astorga,BR,82.8,clear sky,-23.2325,-51.6656,Rancho Jads
238,Aquiraz,BR,82.49,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
254,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
266,Hervey Bay,AU,80.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
273,Fare,PF,81.84,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
275,La Orilla,MX,80.26,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
317,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
321,Yaan,NG,82.62,broken clouds,7.3833,8.5667,
327,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
330,Guarapari,BR,80.49,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
334,Ilheus,BR,84.02,scattered clouds,-14.7889,-39.0494,Barravento Hotel
338,Coahuayana,MX,82.22,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
341,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
347,Vanimo,PG,80.4,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
359,Poum,NC,81.9,overcast clouds,-20.2333,164.0167,
365,Sinaloa,MX,83.1,clear sky,25.0,-107.5,
400,Kudahuvadhoo,MV,82.29,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
420,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
423,Dhidhdhoo,MV,80.69,broken clouds,6.8833,73.1,Dhidhoo beach
425,Aitape,PG,81.48,broken clouds,-3.1374,142.3475,
441,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
494,Puntarenas,CR,84.13,few clouds,9.9763,-84.8384,Michael's Surfside Hotel
507,Kahului,US,81.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
511,Acapulco,MX,81.46,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
524,Maumere,ID,80.15,moderate rain,-8.6199,122.2111,Sylvia Hotel
537,Samarai,PG,82.78,scattered clouds,-10.6167,150.6667,Nuli Sapi
540,Kieta,PG,84.02,light rain,-6.2167,155.6333,Uruna Bay Retreat
552,Kavieng,PG,82.69,light rain,-2.5744,150.7967,Nusa Island Retreat
558,Vaini,TO,80.47,light rain,-21.2,-175.2,Keleti Beach Resort
569,Namatanai,PG,83.08,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
583,Karratha,AU,83.05,broken clouds,-20.7377,116.8463,ibis Styles Karratha
628,Haapiti,PF,87.53,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
634,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
637,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
643,Butaritari,KI,82.0,broken clouds,3.0707,172.7902,Isles Sunset Lodge
648,Lorengau,PG,83.26,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
652,Manokwari,ID,80.01,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
659,Faanui,PF,81.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
675,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
690,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
699,Vao,NC,80.91,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
712,Redlands,US,81.72,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
723,Byron Bay,AU,81.05,few clouds,-28.65,153.6167,Backpackers Inn
760,Acarau,BR,80.42,few clouds,-2.8856,-40.12,castelo pizzaria
779,Nieuw Amsterdam,SR,80.62,few clouds,5.8833,-55.0833,Hotel Stardust
780,Nuevo San Juan,PA,85.6,scattered clouds,9.2233,-79.6619,Puente Limón los cedeños
781,Astorga,BR,81.0,clear sky,-23.2325,-51.6656,Rancho Jads
787,Aquiraz,BR,82.49,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
803,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
815,Hervey Bay,AU,80.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
822,Fare,PF,81.84,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
824,La Orilla,MX,80.26,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
