City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Zhigansk,66.7697,123.3711,-24.7,95,100,12.68,RU,2022-02-08 05:04:34
1,Mataura,-46.1927,168.8643,59.49,43,0,2.46,NZ,2022-02-08 05:02:37
2,Busselton,-33.65,115.3333,72.09,69,91,9.48,AU,2022-02-08 05:04:35
3,New Norfolk,-42.7826,147.0587,79.66,36,73,3.0,AU,2022-02-08 05:04:35
4,Fanai,38.517,44.9745,24.57,53,84,3.29,IR,2022-02-08 05:04:36
5,Severo-Kurilsk,50.6789,156.125,32.63,83,60,10.27,RU,2022-02-08 05:04:36
6,Hobart,-42.8794,147.3294,80.02,53,75,12.66,AU,2022-02-08 05:02:15
7,Cherskiy,68.75,161.3,-35.39,100,29,1.41,RU,2022-02-08 05:04:37
8,Sarakhs,36.5449,61.1577,45.61,72,58,5.79,IR,2022-02-08 05:04:37
9,Kapaa,22.0752,-159.319,75.18,78,75,16.11,US,2022-02-08 05:04:38
10,Ushuaia,-54.8,-68.3,56.12,97,100,4.76,AR,2022-02-08 05:04:38
11,Assiniboia,49.6334,-105.9845,33.42,76,40,18.01,CA,2022-02-08 05:04:39
12,Puerto Ayora,-0.7393,-90.3518,72.25,85,11,4.9,EC,2022-02-08 05:04:39
13,Punta Arenas,-53.15,-70.9167,51.12,71,100,16.87,CL,2022-02-08 05:02:41
14,Rikitea,-23.1203,-134.9692,78.91,75,99,14.97,PF,2022-02-08 05:04:40
15,Kodiak,57.79,-152.4072,36.91,93,100,3.44,US,2022-02-08 05:04:40
16,Crotone,39.0851,17.1178,38.93,53,7,32.79,IT,2022-02-08 05:04:40
17,Salalah,17.0151,54.0924,71.69,18,0,27.63,OM,2022-02-08 05:04:41
18,Antalaha,-14.9003,50.2788,80.53,73,34,0.92,MG,2022-02-08 05:04:41
19,Tuktoyaktuk,69.4541,-133.0374,-34.13,100,100,6.8,CA,2022-02-08 05:04:42
20,Nikolskoye,59.7035,30.7861,31.91,99,96,3.47,RU,2022-02-08 05:04:42
21,Astoria,46.1879,-123.8313,43.97,93,20,0.0,US,2022-02-08 05:04:42
22,Qandala,11.472,49.8728,75.72,64,0,5.77,SO,2022-02-08 05:04:43
23,Hilo,19.7297,-155.09,71.33,87,100,5.75,US,2022-02-08 05:04:43
24,Bredasdorp,-34.5322,20.0403,65.28,93,17,1.25,ZA,2022-02-08 05:02:44
25,Qaanaaq,77.484,-69.3632,-11.54,68,100,4.7,GL,2022-02-08 05:04:44
26,Springdale,36.1867,-94.1288,39.33,61,0,5.75,US,2022-02-08 05:02:42
27,Shimoda,34.6667,138.95,46.11,50,93,12.26,JP,2022-02-08 05:04:45
28,Kulhudhuffushi,6.6221,73.07,80.35,69,37,12.68,MV,2022-02-08 05:04:45
29,Hermanus,-34.4187,19.2345,65.8,87,1,3.18,ZA,2022-02-08 05:04:45
30,Safranbolu,41.2508,32.6942,31.42,89,91,3.36,TR,2022-02-08 05:04:46
31,Rio Grande,-32.035,-52.0986,62.94,82,1,11.23,BR,2022-02-08 05:04:46
32,Khani,41.9563,42.9566,31.57,73,20,9.1,GE,2022-02-08 05:04:47
33,Ancud,-41.8697,-73.8203,63.23,95,97,6.13,CL,2022-02-08 05:04:47
34,Shizunai,42.3339,142.3669,30.6,60,61,12.19,JP,2022-02-08 05:04:48
35,Yellowknife,62.456,-114.3525,-5.58,92,100,13.09,CA,2022-02-08 05:02:28
36,Arraial Do Cabo,-22.9661,-42.0278,74.39,94,100,13.2,BR,2022-02-08 05:04:48
37,Souillac,-20.5167,57.5167,82.78,78,75,12.66,MU,2022-02-08 05:04:48
38,Talnakh,69.4865,88.3972,-9.8,94,98,10.09,RU,2022-02-08 05:04:49
39,Salina Cruz,16.1667,-95.2,72.84,69,9,18.39,MX,2022-02-08 05:04:49
40,Bluff,-46.6,168.3333,59.81,78,12,15.64,NZ,2022-02-08 05:04:50
41,Neiafu,-18.65,-173.9833,79.48,83,100,11.5,TO,2022-02-08 05:01:12
42,Gasa,31.5,34.4667,51.91,62,24,7.25,PS,2022-02-08 05:04:50
43,Kaseda,31.4167,130.3167,46.85,84,93,16.67,JP,2022-02-08 05:04:51
44,Jamestown,42.097,-79.2353,27.99,86,100,6.91,US,2022-02-08 05:04:25
45,Albany,42.6001,-73.9662,34.92,93,100,3.42,US,2022-02-08 05:00:10
46,Vaini,-21.2,-175.2,78.96,100,100,5.75,TO,2022-02-08 05:04:51
47,Tiksi,71.6872,128.8694,-24.88,99,47,5.44,RU,2022-02-08 05:04:52
48,Bataipora,-22.2953,-53.2711,60.66,58,5,4.18,BR,2022-02-08 05:03:36
49,Hamilton,39.1834,-84.5333,22.62,83,0,4.61,US,2022-02-08 05:04:52
50,Barcelona,41.3888,2.159,53.55,78,20,10.36,ES,2022-02-08 05:02:10
51,Walvis Bay,-22.9575,14.5053,70.09,89,100,6.64,NA,2022-02-08 05:04:53
52,Thompson,55.7435,-97.8558,21.36,98,100,5.26,CA,2022-02-08 05:04:53
53,Okhotsk,59.3833,143.3,12.67,78,100,6.91,RU,2022-02-08 05:04:54
54,Atuona,-9.8,-139.0333,78.26,76,11,15.39,PF,2022-02-08 05:04:54
55,Nemuro,43.3236,145.575,27.36,66,49,4.92,JP,2022-02-08 05:04:54
56,Umm Lajj,25.0213,37.2685,70.56,29,0,5.3,SA,2022-02-08 05:02:35
57,Sebina,-20.8667,27.25,64.11,75,3,5.75,BW,2022-02-08 05:04:55
58,Provideniya,64.3833,-173.3,-9.29,64,0,8.95,RU,2022-02-08 05:02:45
59,Botro,7.8525,-5.3106,69.48,81,23,3.18,CI,2022-02-08 05:04:55
60,Cape Town,-33.9258,18.4232,65.08,90,37,1.01,ZA,2022-02-08 05:01:03
61,Lagoa,39.05,-27.9833,58.89,67,83,7.31,PT,2022-02-08 05:04:56
62,Batagay-Alyta,67.8006,130.4114,-24.11,94,74,2.35,RU,2022-02-08 05:04:56
63,Idukki,9.85,76.9667,80.94,52,64,0.69,IN,2022-02-08 05:04:57
64,Bambous Virieux,-20.3428,57.7575,82.65,78,75,12.66,MU,2022-02-08 05:04:57
65,Plettenberg Bay,-34.0527,23.3716,67.96,61,0,1.57,ZA,2022-02-08 05:03:06
66,Geraldton,-28.7667,114.6,82.81,32,0,17.27,AU,2022-02-08 05:04:58
67,Dikson,73.5069,80.5464,6.69,89,100,25.12,RU,2022-02-08 05:04:58
68,Victoria,22.2855,114.1577,66.25,80,93,11.01,HK,2022-02-08 05:04:51
69,Salinopolis,-0.6136,-47.3561,77.09,89,96,6.24,BR,2022-02-08 05:04:58
70,Kavaratti,10.5669,72.642,78.57,72,21,10.0,IN,2022-02-08 05:04:59
71,Qeshm,26.9581,56.2719,60.67,49,0,1.68,IR,2022-02-08 05:04:59
72,Hualmay,-11.0964,-77.6139,70.27,80,99,7.58,PE,2022-02-08 05:05:00
73,Cabo San Lucas,22.8909,-109.9124,68.5,58,0,1.48,MX,2022-02-08 05:00:01
